Minimum_Temp,Maximum_Temp,Rainfall
12.5,21.7,0.0
11.6,27.4,0.0
16.6,29.9,0.0
18.1,31.0,0.0
16.9,31.3,0.0
16.3,26.5,0.0
19.7,27.2,0.0
19.3,28.2,0.0
20.1,34.4,1.0
14.6,20.3,23.8
14.9,18.3,35.4
16.1,22.9,0.0
13.7,24.1,0.0
17.3,29.1,0.0
20.2,27.3,18.8
15.1,22.0,1.2
15.6,21.4,0.8
13.4,22.8,0.0
12.0,25.1,0.0
15.6,28.4,0.0
18.3,27.3,0.0
19.4,27.1,0.0
20.4,28.5,0.0
19.6,30.2,0.0
20.4,30.7,0.0
19.1,31.2,0.0
20.0,25.8,0.0
18.4,23.3,2.0
18.1,25.2,0.0
21.1,35.6,0.8
19.1,21.4,2.2
16.8,24.2,0.0
17.1,24.6,0.0
20.8,32.2,0.0
22.4,34.1,0.0
22.6,28.4,0.0
22.1,39.5,0.4
17.0,23.7,4.0
15.6,24.0,0.0
15.2,28.2,0.0
19.9,31.9,14.2
21.0,26.6,5.8
21.5,31.3,0.8
20.8,26.5,0.0
21.1,24.5,0.2
21.2,33.3,0.0
23.0,39.3,2.8
20.6,26.2,3.6
19.3,26.2,7.0
17.9,22.1,26.6
17.1,25.9,0.0
15.6,30.8,0.0
20.2,27.6,0.0
21.9,29.1,0.0
22.6,32.5,0.6
22.4,32.3,0.0
23.4,35.0,0.0
22.7,41.4,0.6
21.6,29.3,7.6
20.9,24.5,0.6
20.4,25.5,0.2
21.2,29.8,0.6
21.3,28.2,0.4
22.3,30.7,0.0
23.2,35.0,0.0
24.5,31.4,0.0
23.9,38.4,0.0
19.3,24.3,8.0
18.7,27.3,0.2
22.4,31.6,8.4
23.2,29.7,0.2
23.7,33.2,0.0
21.2,27.0,6.6
19.4,24.4,0.8
19.2,28.4,2.0
21.8,26.6,1.0
19.8,26.5,0.4
18.6,27.0,0.2
19.2,28.9,0.0
20.7,27.8,0.2
20.7,41.7,0.0
23.5,30.0,0.0
21.9,28.7,0.0
19.7,35.4,0.0
22.9,30.1,0.0
23.4,32.3,23.6
21.4,24.2,25.2
23.5,29.9,0.0
23.2,34.0,0.0
20.4,26.1,7.6
20.9,26.2,0.0
15.7,27.7,0.0
19.1,33.8,0.0
22.5,30.6,10.8
20.9,25.7,5.8
20.2,25.6,15.2
19.4,23.0,14.6
19.0,25.4,0.2
20.4,25.9,1.2
18.7,30.6,0.0
22.3,31.1,0.0
22.9,34.1,1.0
22.7,28.7,0.4
21.6,28.9,0.2
23.6,30.9,5.6
21.5,27.9,0.0
21.1,28.4,0.0
21.8,28.7,0.0
19.9,28.5,2.2
21.1,30.9,0.0
23.2,28.5,0.0
23.4,32.1,0.0
22.7,30.3,98.6
21.8,29.0,0.0
21.8,28.5,1.0
20.3,29.1,1.2
18.8,31.6,2.8
23.1,28.1,4.2
21.7,28.3,20.4
18.7,27.5,19.8
18.1,28.0,0.0
20.3,32.8,0.6
22.7,27.3,0.2
22.6,29.1,0.0
20.1,32.3,10.8
19.9,30.9,0.0
22.2,30.5,0.0
23.1,35.9,0.0
20.4,27.0,10.6
20.2,32.0,0.2
22.1,29.2,0.0
23.8,33.2,5.4
22.1,27.0,3.4
21.4,33.2,0.4
22.7,27.7,0.0
22.5,31.8,0.2
